Timestamp (ms),MQ-3 Voltage,MQ-4 Voltage,MQ-8 Voltage,CO2 (ppm),Temperature (C),Humidity (%)
2025-05-16 23:36:23.655,1.07675,0.491875,1.05925,-1,-1,-1
2025-05-16 23:36:23.792,1.0785,0.49262500000000004,1.053375,-1,-1,-1
2025-05-16 23:36:23.922,1.072125,0.494375,1.04975,-1,-1,-1
2025-05-16 23:36:24.058,1.071625,0.49425,1.0598750000000001,-1,-1,-1
2025-05-16 23:36:24.188,1.076625,0.492,1.06025,-1,-1,-1
2025-05-16 23:36:24.325,1.0745,0.492,1.0522500000000001,-1,-1,-1
2025-05-16 23:36:24.462,1.075,0.49312500000000004,1.0502500000000001,-1,-1,-1
2025-05-16 23:36:24.597,1.075,0.497875,1.048,-1,-1,-1
2025-05-16 23:36:24.728,1.078,0.4925,1.04775,-1,-1,-1
2025-05-16 23:36:24.866,1.0815000000000001,0.495875,1.046625,-1,-1,-1
2025-05-16 23:36:24.997,1.073625,0.49312500000000004,1.047625,-1,-1,-1
2025-05-16 23:36:25.128,1.070625,0.49412500000000004,1.0515,-1,-1,-1
2025-05-16 23:36:25.261,1.06625,0.49225,1.054,-1,-1,-1
2025-05-16 23:36:25.391,1.05975,0.493,1.055,-1,-1,-1
2025-05-16 23:36:25.524,1.077875,0.491375,1.056,-1,-1,-1
2025-05-16 23:36:25.655,1.058875,0.493875,1.061625,-1,-1,-1
2025-05-16 23:36:25.785,1.073875,0.493,1.0485,-1,-1,-1
2025-05-16 23:36:25.916,1.06825,0.4915,1.05,-1,-1,-1
2025-05-16 23:36:26.048,1.067375,0.49412500000000004,1.041125,-1,-1,-1
2025-05-16 23:36:26.182,1.0678750000000001,0.492875,1.050625,-1,-1,-1
2025-05-16 23:36:26.312,1.065,0.4925,1.040375,-1,-1,-1
2025-05-16 23:36:26.445,1.07275,0.49525,1.052375,1061,31.125734340428778,45.239948119325554
2025-05-16 23:36:26.586,1.07275,0.494375,1.0625,-1,-1,-1
2025-05-16 23:36:26.716,1.077,0.492375,1.04975,-1,-1,-1
2025-05-16 23:36:26.851,1.073625,0.49512500000000004,1.059375,-1,-1,-1
2025-05-16 23:36:26.984,1.07825,0.495375,1.053375,-1,-1,-1
2025-05-16 23:36:27.115,1.081375,0.496875,1.049,-1,-1,-1
2025-05-16 23:36:27.244,1.074625,0.4945,1.048625,-1,-1,-1
2025-05-16 23:36:27.376,1.0765,0.492875,1.0502500000000001,-1,-1,-1
2025-05-16 23:36:27.513,1.07825,0.496,1.0525,-1,-1,-1
2025-05-16 23:36:27.648,1.0745,0.495375,1.049375,-1,-1,-1
2025-05-16 23:36:27.781,1.074125,0.49425,1.050125,-1,-1,-1
2025-05-16 23:36:27.913,1.08375,0.494375,1.048,-1,-1,-1
2025-05-16 23:36:28.049,1.07775,0.496125,1.050125,-1,-1,-1
2025-05-16 23:36:28.180,1.07775,0.49425,1.04875,-1,-1,-1
2025-05-16 23:36:28.319,1.08125,0.49825,1.057625,-1,-1,-1
2025-05-16 23:36:28.449,1.06975,0.492875,1.044125,-1,-1,-1
2025-05-16 23:36:28.578,1.07575,0.497375,1.05,-1,-1,-1
